"product_name","star","price","classification","website","distinction","description"
"Caviar Russe","One  Star","Over 75 USD","Very comfortable","http://www.caviarrusse.com","One Star • High quality cooking, worth a stop","No playful pun, no name-check for grandma, no oblique reference to a geographical landmark—whoever christened this restaurant clearly wanted to attract a certain type of customer. This is not the place where you should order by pointing vaguely at the menu—that way lies trouble because you may find yourself having to re-mortgage your apartment to pay for the 250 grams of Osetra caviar you’ve just inadvertently requested. Best leave that section of the carte to the oligarchs and retired dictators and concentrate on the main menu. Here you will find contemporary dishes of surprising delicacy and precision, with a pleasing bias towards wonderful seafood and shellfish, such as scallops with ricotta gnudi, or delicious bluefin tuna with uni and asparagus. You get buzzed in at street level, which adds a bit of mystery to proceedings. Up the stairs and you’ll find yourself in a lavish little jewel box, with colorful murals on the wall, Murano chandeliers hanging from an ornate ceiling, and semi-circular booths. The only thing missing is James Bond’s nemesis drumming his fingers on the table in the corner. For more plush fun in the sun, there is a seriously posh outpost at The Four Seasons Tower in Miami."
"Enoteca Maria","","25 - 50 USD","Comfortable","http://www.enotecamaria.com","Bib Gourmand • Inspectors’ favourites for good value","No need to venture far on Staten Island for excellent Italian. Enoteca Maria is just blocks from the St. George Terminal and brought to you by Jody Scaravella, whose cookbook Nonna's House has been earning him (and this tiny gem) much applause. With its Carrara marble and lively vibe, most foodies flock here for a certain authenticity that is rarely sacrificed. Each night, the menu changes depending on which nonna is presiding over the kitchen, as in Nina from Belarus, who might serve a salat Odessa mingling grilled eggplant, red onion, tomato and parsley. Lasagna de Adelina arrives as an inspired layering of zucchini, basil pesto and cream cheese, all topped with parmesan. And for a bit of sweet, try the torta di vaniglia di Melissa served with whipped cream."
"EN Japanese Brasserie","","50 - 75 USD","Very comfortable","http://www.enjb.com","The Plate • Fresh ingredients, carefully prepared: a good meal","EN doesn't pander to the spicy tuna-loving set, but effectively pays homage to highly seasonal Japanese cooking. In such simple and delicate food, flawless execution is a must so don't hesitate to ask for a recommendation. Also on offer are three, exceptionally priced kaiseki menus. The informed staff is happy to offer their opinion on items, be it chilled soba with a warm dipping sauce; aburi Tasmanian sea trout in an enticingly flavored pool of garlic and soy sauce; or iwashi rice coupled with crunchy sunomono and floating in a briny bonito broth. Sweet corn kernels are enrobed in nori for a delightful bit of bite. Lofty ceilings, large windows, and a glass wall lined with shelves of sake attract a young, professional, and fashionable crowd."
"Empellón","","25 - 50 USD","Quite comfortable","http://www.empellon.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Buttoned-up midtown gets a much-needed shot in the arm compliments of Chef Alex Stupak's lively new flagship for his popular Empellón family. The colorful, multi-level space offers a first floor outfitted with a generous bar area and prime view of the bustling open kitchen. On the mezzanine level, find a more intimate dining space. The menu bears the chef's signature creative flair, offering a range of small bites, tacos, and shareable large plates. Sample their clever spins on salsa, like a wickedly good smoky cashew salsa that arrives with a sampler salsa starter; or irresistible lamb sweetbread tacos with a flutter of white onion and bright cilantro. Stupak is also a serious pastry chef and it shows in the otherworldly desserts, like the ""avocado."""
"El Nuevo Bohío","","Under 25 USD","Comfortable","http://www.elnuevobohiorestaurant.com","The Plate • Fresh ingredients, carefully prepared: a good meal","On a prominent corner, windows filled with lechòn lure passersby with mouthwatering visions of shiny-skinned roast pork. Beloved by the local Puerto Rican community, as well as a wave of newcomers, the front room is minimally adorned and filled with lines of to-go orders. Snag a seat in the back- where bright walls are flooded with photos-for friendly table service. Begin with morcilla, a thick blood sausage with chili peppers, cilantro, and garlic before moving on to succulent pernil, pork shoulder, roasted to a luxuriously crisp exterior. Speaking of which, some 30 pigs are delivered here each week and during the holidays, you can also get an entire cooked pig to go. Close out with such complex sopas as cow's feet with yucca or asopado de carmarones."
"El Quinto Pino","","25 - 50 USD","Quite comfortable","http://www.elquintopinonyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","This convivial tapas spot, compliments of Chef/co-owners Alex Raij and Eder Montero, is small but oh-so-warm and friendly. A bustling bar greets you upon entry; behind that lies a sweet little dining space with large windows, mismatched chairs, and a huge woven mural. Service is engaging and attentive. The food may hit the table swiftly, but nonetheless, the multiple courses are very well paced. This kitchen has a talent for frying to perfection, but the highlight of the menu is arguably their lineup of warm, crusty bocadillos (sandwiches). The menu offers a full range of Spanish tapas that include regional touches from areas like Andalusia, Asturias or Menorca-and clever combinations like the garlic shrimp with ginger and jalapeño or delicious shrimp po' boy."
"Emily","","25 - 50 USD","Comfortable","http://www.pizzalovesemily.com","The Plate • Fresh ingredients, carefully prepared: a good meal","This charming Fort Greene trattoria arrives courtesy of Matt Hyland, a graduate of the Institute of Culinary Education.. Named for his wife, this is a cozy, intimate reprieve from bustling Fulton Street, with a simple décor and small back bar where you can catch a glimpse of the kitchen's wood-fired pizza oven. The rustic tables bustle with young families from the neighborhood. The menu is concise, creative, and often curious in the best possible way. Try Asian small plates like sticky-spicy Korean-style wings, tender Szechuan pork ribs, and comfort classics like grass-fed, dry-aged burgers. Lip-smacking pizzas are categorized as The Reds, Pinks (vodka sauce), Whites (sauce-free), and Greens (tomatillo sauce)."
"Eleven Madison Park","Three  Stars","Over 75 USD","Top class comfortable","http://www.elevenmadisonpark.com","Three Stars • Exceptional cuisine, worth a special journey","Chef Daniel Humm’s cooking is clever, innovative and even a little whimsical; it is as often robust as it is delicate. This variety and depth is what sets him apart from other chefs, and puts Eleven Madison Park on the vanguard of America’s dining evolution. No menu is presented here, but diners are empowered to choose their preferences for a number of courses. The myriad plates that subsequently appear are dramatic, like the gueridon presentation of asparagus in rosemary broth cooked sous-vide in a pig’s bladder, but also display extraordinary understanding of technique, as in the dry-aged duck. The latter sports a crisped auburn skin flecked with roughly crushed spices. Baked Alaska for two is a splashy presentation, drizzled with Chartreuse and flambéed tableside. The restaurant is housed within the sort of grandeur that could only ever have belonged to a financial institution. At two decades in, this imposing arena now flaunts an updated interior that befits the luxurious cuisine. Considerable help comes courtesy of the engaging staff as they explain each dish in loving terms but without ever sounding too virtuous. They also know when to talk and when to leave you to enjoying your meal."
"El Parador","","25 - 50 USD","Quite comfortable","http://www.elparadorcafe.com","Bib Gourmand • Inspectors’ favourites for good value","This neighborhood mainstay boasts over fifty years of success. With their fantastic menu, killer margaritas, and dedication to hospitality, El Parador is worthy of its status as a beloved destination. The intimate space is decked with ornate wood chairs, red banquettes, and wood plank ceilings, while white brick walls are hung with artwork and artifacts. The bountiful menu offers favorites like taco trays and nachos in three varieties, as well as a rotating menu of daily specials (be sure to try the fish of the day). Fill up on aguachile de camaron, deliciously classic shrimp ceviche in lime juice and jalapeño; or tender, falling-off-the-bone baby-back ribs served with tequila-chili guajillo salsa, cabbage slaw, and braised camote. Margaritas are a must, but of course."
"Edi & The Wolf","","25 - 50 USD","Comfortable. Our most delightful places","http://www.ediandthewolf.com","The Plate • Fresh ingredients, carefully prepared: a good meal","This is as much an Austrian heuriger (wine tavern) that one can find in New York. While the menu has some modern and creative elements, the décor is comprised of wood planks and thick coils of rope for an attractively barn-like feel. That cozy and disheveled character makes you forget where you are-same goes for the superb list of German and Austrian wines. On warm days, head to the equally pleasing and tiny back patio. Most everyone knows to go for the schnitzel, served with potato salad, cucumbers, and lingonberries. Still, you won't go wrong with a host of rustic small plates like crisped Brussels sprouts tossed in pork ragout with scallions and pickled mustard seeds, or perhaps roasted beets with pickled walnuts, walnut milk, and dill."
"El Born","","25 - 50 USD","Quite comfortable","http://www.elbornnyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Named for a trendy neighborhood in Barcelona, this Greenpoint tapas den has a decidedly urban feel. Make your way inside to discover a glossy space, featuring a neon squiggle suspended from the ceiling, red Shaker-style chairs, as well as a long bar with twelve contemporary (but comfy!) stools for perching. Over in the kitchen, the chefs slide effortlessly between Andalusia, Catalonia, and Castilla-La Mancha, giving each of their dishes a dusting of contemporary flair. Warm goat cheese croquetas are served with apple compote; while shaved summer squash straddles sweet-salty perfection with jamon Ibérico, blueberries, and padrón pepper vinaigrette. For a flavor-packed finale, go for stone-grilled octopus seasoned with olive oil, thyme, and paprika."
"Egg","","Under 25 USD","Comfortable","http://www.eggrestaurant.com","Bib Gourmand • Inspectors’ favourites for good value","Breakfast is served all day at this popular Williamsburg spot, which has a second outpost in Tokyo. The setting is industrial but inviting-flushed with light bouncing off concrete floors, plain wood tables and light-colored brick walls. The star of the show are the fantastic buttermilk biscuits, fresh-baked beauties that are split and smothered with pork sausage-studded sawmill gravy. These may then be stacked with country ham, house-made fig jam, and Vermont cheddar cheese; or simply accompanied by molasses, honey, or jelly. A plump fried oyster sandwich appears laced with a mustard-pickled okra remoulade. Much of the produce is sourced locally-a good part of it provided by Goatfell Farm (located on the northern edge of the Catskills mountain range)."
"Dovetail","One  Star","50 - 75 USD","Very comfortable","http://www.dovetailnyc.com","One Star • High quality cooking, worth a stop","The name is apposite because this is one of those restaurants where all the elements fit together and complement each other perfectly, from the look of the room to the style of food and the tone of the service. This large space has a chic and sophisticated feel, with pillars breaking it up into more manageable sections to ensure greater intimacy. The service is also just right: professional and structured yet undertaken with considerable warmth—you really feel as though you’re being well looked after here. What sets this restaurant apart is that vegetables are given their own moment in the limelight rather than merely playing second fiddle to meat or fish. The ingredients are from the top drawer and the dishes are quite elaborate in design but pleasingly easy to eat. Fluke crudo comes at the perfect temperature so that maximum flavor is revealed; cauliflower velouté has a remarkable depth of flavor; and the sirloin and short rib reveal a kitchen strong on technique as well as an understanding of textures and balance of flavors. It would seem churlish to end with anything other than their excellent chocolate soufflé."
"Dumpling Galaxy","","Under 25 USD","Comfortable","http://www.dumplinggalaxy.com","Bib Gourmand • Inspectors’ favourites for good value","Neon bounces off all the shiny surfaces at Dumpling Galaxy, inside the Arcadia Mall. Navigate beyond the phone retailers and stalls to find this huge, modern space full of red booths and hanging red lights. Spiffy and inviting, this establishment is lauded for crafting scores of dumpling variations, plus comforting entrées that shouldn't be ignored. Fill your table with a dumpling feast, stuffed chock-full of duck and mushroom, spicy-sour squash, or lamb and celery redolent of lemongrass and spices. Larger dishes are equally memorable; those cold, thick, slurp-inducing green bean noodles soaked in heady, tart black vinegar with raw white sesame seeds, cilantro, cucumbers, and wood-ear mushrooms will have you coming back for more...and then some more."
"Donostia","","25 - 50 USD","Comfortable","http://www.donostianyc.com","Bib Gourmand • Inspectors’ favourites for good value","You'll want to bring friends and graze your way through these Basque delights oh-so-slowly. Offering traditional tapas and pintxos, the menu at Donostia features small plates like delicate, cold water-brined boquerón, drizzled with grapeseed oil and vinegar; or tender razor clams, laced with white bean purée, piment d'Espelette and lemon zest. The traditional tortilla with thinly sliced potatoes and mayonnaise is yet another big hit. The minute you walk through the door, the dining room feels abuzz with excitement. A narrow row of tables tucked under the antique map of ""Donostia"" welcomes groups. Lone diners can snag a small perch facing Tompkins Square Park for people-watching, while others may head to the back to see dishes being plated as they eat."
"Donguri","","25 - 50 USD","Comfortable","http://www.donguriny.com","The Plate • Fresh ingredients, carefully prepared: a good meal","This cozy Yorkville hideaway has endured years of non-stop construction along Second Avenue and a more recent change in ownership and chef. Yet Donguri still perseveres as a highly recommendable venue. Service has lightened up of late, reflected in the genuine smiles of the small and gracious crew, but the cuisine's ethos remains very much unaltered. Don't expect to dine on sushi here-there's more to Japanese cuisine after all, as evidenced by their home-style cooked dishes. Nightly specials posted on the wall direct your attention to options like fried soft-shell crabs so pleasingly crispy and plump they don't need anything else. Okay, a squeeze of lemon if you must. Rice bowls topped with the likes of yellowtail and scallion are yet another specialty."
"Don's Bogam","","25 - 50 USD","Quite comfortable","http://www.donsbogam.com","The Plate • Fresh ingredients, carefully prepared: a good meal","At Don's Bogam, the food is fantastic and service indulgent. So, reserve ahead as every seat is filled-from the festive bar up front right down to those two-tops sporting blazing grills. Make no mistake: this is no average K-town joint. Inside, a top-notch venting system lets diners enjoy a smoke-free evening of exceptional grilled meats. Start with fried pork mandu, which are crisp, on-point and extra divine. Wonderfully flaky buchu gochu pajeon is studded with chives for perfect flavor; while pork belly marinated in red wine is smoky and supremely tender. For the ultimate payoff, opt for the memorable beef platter. It features thinly sliced macun and yangnyeom galbi set beside king trumpet mushrooms that are meaty and mouthwatering in their own right."
"Don Antonio by Starita","","25 - 50 USD","Quite comfortable","http://www.donantoniopizza.com","Bib Gourmand • Inspectors’ favourites for good value","Don Antonio's knows its way around a pie. The namesake outpost, located in Naples, has been running strong since 1901. And if that isn't enough street cred to send you running to Antonio Starita and Roberto Caporuscio's beloved pizzeria, then perhaps the generous buzz surrounding Caporuscio's other New York venture, Kesté, will do the trick. Don Antonio's signature pie is the Montanara Starita-a lightly fried pizza laced with fresh house-made tomato sauce, smoked mozzarella and basil, then finished in the wood-fired oven. Oh, but who could stop there with treasures like the salsiccia e friarielli pizza to sample. This beauty arrives with sweet, crumbled fennel sausage, smoked mozzarella, bitter rapini greens and a glossy swirl of EVOO."
"Dirt Candy","","25 - 50 USD","Quite comfortable","http://www.dirtcandynyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","East Village foodies and health nuts can't seem to get enough of this culinarily nourishing vegetarian temple. Chef Amanda Cohen and team have comfortably settled into their bigger and bolder digs, where industrial elements meld with white walls and the chic bar proffers both cocktails and consolation seating. Sound too good to be true? It isn't. Dirt Candy's menu is best described as a bounty of creativity, with options like ""Fennel,"" a hearty salad of raw and pickled shavings with black bean cake and caramelized yogurt spread carta di musica; as well as ""Carrots,"" the orange veggies roasted with jerk spices and served over a carrot waffle with peanut mole sauce. Desserts are every bit as inspired, like a chocolate tart peppered with caramelized onions."
"Dinosaur Bar-B-Que","","25 - 50 USD","Comfortable","http://www.dinosaurbarbque.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Huge, loud, and perpetually packed, this way west Harlem barbecue hall draws crowds from near and far. The bar area is rollicking, and for that reason kept separate from the dining quarters. There, wood beams and slats, swirling ceiling fans, and oxblood leather booths fashion a comfortable-and quieter-setting. The scent of wood smoke wafting through the red brick structure (which coincidentally once served as a meatpacking warehouse) only heightens the diners' carnivorous cravings. Minimize decision making and order the Extreme Sampler: a heaping feast of apple cider-brined smoked chicken, dry-rubbed slow-smoked pork ribs, and lean Creekstone Farms brisket. Add on a creative side or two-perhaps the barbecue fried rice studded with bits of pulled pork?"
"DOMODOMO","","25 - 50 USD","Comfortable","http://www.domodomonyc.com","Bib Gourmand • Inspectors’ favourites for good value","Situated just below street level, DOMODOMO is sleek and lovely, with carefully constructed wood furnishings and a long, smooth blonde wood counter. The buzz at the bar is magnetizing, and service is stellar with each sitting, as diners are presented with a small bowl of water and cleansing hand towel. Sushi is plentiful in New York, of course, but this kitchen ups the ante of their hand rolls with top-notch nori, rice, and fish. The cutting techniques are just as flawless, and while some combinations are familiar and others quirky and inspired, each roll is filled with an array of pristine ingredients. Highlights include spicy salmon with grilled tomato; finely chopped tuna with wasabi; and light, perfectly crisp shrimp tempura with mango salsa."
"dinnertable","","25 - 50 USD","Comfortable. Our most delightful places","http://www.dinnertable.nyc","The Plate • Fresh ingredients, carefully prepared: a good meal","Tucked behind The Garret East, this 20-seat gem is nothing if not incognito. But upon discovery, enter to find a polished bar with silver banquettes and mosaic surfaces. Then make way through the packed room to arrive at speakeasy-like dinnertable-a wee space furnished with just a few seats and that ubiquitous counter. The talented kitchen behind this concept has created a menu of surprisingly elegant small plates. An uni paella ball is seared to crisp delight, while bluefin and avocado are paired with yuzu for a perfect contrast in taste and texture. Then charred striped bass joins together with roasted cabbage, broccoli, and a lemon oil. Stick with this kitchen's Asian influences and close out with a matcha sundae drizzled with miso-caramel sauce."
"Denizen","","25 - 50 USD","Quite comfortable","http://www.denizenbrooklyn.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Exceptionally good, next-level cheese is the star of this Williamsburg gem, whether it's a spruce-wrapped Harbison from Jasper Hill in Vermont, or French goat milk blue from La Ferme de La Tremblaye. But the menu doesn't stop at fromage-and Denizen's sophisticated small plates are delicious enough to merit a proper dinner. French onion toast is topped with braised oxtail ragout and soft ribbons of Timberdoodle; butter-poached tile fish bobs in a 'nduja broth over braised sunchokes and cabbage; and burrata plated with broccoli pesto, white anchovies, and sunflower oil is served with crisp rye toast. The modern, tavern-like space is small, so you can expect a wait-but that's not necessarily a bad thing with such an impressive wine list to peruse."
"Del Posto","One  Star","Over 75 USD","Top class comfortable","http://www.delposto.com","One Star • High quality cooking, worth a stop","Most dishes from Executive Chef Melissa Rodriguez at the uniquely opulent and fashionable Del Posto are gorgeously crafted, but it is her playful interpretation of Italian cuisine that makes this kitchen creative. Of course, with neighbors like the High Line, Whitney Museum and Chelsea Market, not only is its location most desirable, but a sense of luxury is clear in their beautifully dressed tables, polished marble, and silk-draped windows. Balconies sit above the striking bar with live piano music pouring through the room. Despite the formality, there is a warm buzz among diners as the impressive suited staff attends to them. The arrival of a refreshed menu still highlights canapés and top-notch classics like vitello tonnato, but indulge in such updated creations as a warm fennel and radicchio salad tossed with balsamic and raisins. Next-level pastas like farfalle with roasted beets and smoked ricotta reflect influences from up north. Then gnocchi studded with halibut and finished with caviar is an all-round delight, as is the highly enjoyable chocolate budino with coconut sorbet. A worthy exception to the all-Italian wine list is a superb offering of some 300 champagnes."
"Delaware and Hudson","One  Star","50 - 75 USD","Quite comfortable","http://www.delawareandhudson.com","One Star • High quality cooking, worth a stop","Chef Patti Jackson can almost always be found in her kitchen—and that’s the first sign you’re in for a treat at this <I>bijou</I> of a restaurant, where her exceptional Mid-Atlantic fare is the name of the game. This kitchen boasts deep ties to some of the tri-state area’s most beloved farms, orchards, and fisheries, adding quality and authenticity to every dish. The prix-fixe menu offers diners a handful of appetizers to share, including Jackson’s famous pretzel roll, followed by a first course and entrée. The starting lineup might feature creamy chestnut soup; golden crab cake paired with purslane and Hollandaise; or green tomato pie with molasses and brown sugar. Pillowy farmer’s cheese dumplings tossed with apple schnitz, ham, and Brussels sprouts could be next. And to follow, a fragrant porchetta paired with cider-braised root vegetables and spinach. Dessert, always a delicious affair, is usually hand-delivered by Jackson herself. The space is small and polished, with flowers sitting pretty on the tables and vivid photographs brightening steely sea-foam walls. If a relaxed, abbreviated tour of the menu is more your speed, head next door to the Tavern for impressive à la carte options."
"De Mole","","Under 25 USD","Comfortable","http://www.demolenyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","If the words sweet, competent, clean, and authentic come to mind, you're most likely thinking of this heart-warming haunt for delightful Mexican. Albeit a tad small, with a second dining room in the back, rest assured that De Mole's flavors are mighty, both in their staples (burritos and tacos) and unique specials-seitan fajitas anyone? This delightful pearl rests on a corner of low-rise buildings where Woodside meets Sunnyside, yet far from the disharmony of Queens Boulevard. Fans gather here for hearty enchiladas verdes con pollo, corn tortillas smeared with tomatillo sauce and queso blanco. Crispy chicken taquitos are topped with rich sour cream; steamed corn tamales are surprisingly light but filled with flavor; and the namesake mole is a must."
"Gladys","","25 - 50 USD","Comfortable","http://www.gladysnyc.com","Bib Gourmand • Inspectors’ favourites for good value","Ready to live the Caribbean dream? All it takes is a few sips of a rum cocktail at Chef/owner Michael Jacober's festive café. This turquoise-tinted destination is where locals come together for Happy Hour libations (the comprehensive list features bottles from Jamaica, Trinidad, and Barbados) as well as for flavor-packed dishes at budget prices. The kitchen is liberal with Jamaica's signature jerk seasoning, a magical blend of allspice, Scotch bonnet pepper, and citrus that's applied to chicken, pork, seitan, and even whole lobsters. The latter are kept fresh in a tank and a thrown onto a pimento wood-fired grill. Save room for the succulent bowl of curry goat with chunks of potatoes and carrots, best enjoyed with a side of coconut-scented rice and peas."
"Golden Unicorn","","25 - 50 USD","Comfortable","http://www.goldenunicornrestaurant.com","The Plate • Fresh ingredients, carefully prepared: a good meal","This age-old dim sum parlor, spread over many floors in an office building, is one of the few Cantonese spots that actually has the space and volume to necessitate its parade of steaming carts brimming with treats. While Golden Unicorn's system is very efficient and part of the spectacle, arrive early to nab a seat by the kitchen for better variety and hotter items. A helpful brigade of suited men and women roam the space to offer the likes of exquisitely soft roast pork buns, or congee with preserved egg and shredded pork. Buzzing with locals and visitors, it is also a favorite among families who appreciate the kid-friendly scene as much as the delectable, steamed pea shoot and shrimp dumplings, pork siu mai, and rice rolls stuffed with shrimp."
"Glasserie","","25 - 50 USD","Quite comfortable","http://www.glasserienyc.com","Bib Gourmand • Inspectors’ favourites for good value","Housed in an old glass factory, the beautiful Glasserie is colorful, rustic and industrial, with lots of original details, a welcoming bar, and a small door that peeks into the bustling kitchen. Add to this lovely setting a straight-up delicious Middle Eastern menu from a wildly talented kitchen, and you begin to understand why the crowds are flocking to this hot spot. Manning the kitchen is Eldad Shem Tov, a talented chef who favors organic and locally sourced ingredients. Highlights may include the table-shared mezze feast-served with ten or so incredible small dishes-or the rabbit taco, spiked with harissa and folded into a thin kohlrabi ""taco"" with herbs and radish. The silky chicken liver mousse, served with arak, is a crowd-pleaser and fittingly so."
"Gloria","","25 - 50 USD","Comfortable","http://www.gloria-nyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Though dinner at Gloria doesn’t come with a side of personal space (read: you’ll likely be elbow-to-elbow with your neighbors as you dine), the tiny spot slays its Ninth Avenue competition with a trendy ambience, buzzing bar, and terrific food crafted by Chef Diego Garcia. The concise, seafood-centric menu, which offers just a handful of savory items and two desserts, reflects the chef's impressive background. Expertly charred octopus or red snapper served in a red wine béarnaise-inspired sauce both hint at Garcia's time at Le Bernardin, while a tres leches cake filled with thick cream is a nod to his Mexican heritage. No matter what you order, be sure to arrive with a fully-charged phone, as these dishes practically beg to be shared on Instagram."
"Giuliana's","","25 - 50 USD","Quite comfortable","http://www.giulianassi.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Staten Island may swarm with Italian-American eateries, but this festive classic does a masterful job in keeping its kitchen distinct and the patrons loyal. Guiliana's is the queen bee amid shops, catering halls, and ample competition. The interior is modest and charming, with framed pictures of smiling patrons and a fully stocked bar. Hearty stracciatella is loaded with spinach and a comforting sauce of eggy parmesan, finished with a generous shower of black pepper. Seek out the perciatelle con sarde, a Sicilian-style pasta tossed in a powerful blend of fennel, saffron, raisins, sardines, anchovy paste, and a crunch of toasted breadcrumbs. A trio of gelatos-pistachio, chocolate, and bitter almond, served with biscotti-is a divine ending."
"Gigino at Wagner Park","","25 - 50 USD","Quite comfortable","http://www.gigino-wagnerpark.com","The Plate • Fresh ingredients, carefully prepared: a good meal","To find food this tasty in a rather touristy neck of the woods is a welcome surprise. A setting that boasts views of the Statue of Liberty, Ellis Island, and Hudson River is unique enough that they could probably get away with less than this very good Italian-ish food. In warmer months, the best seats are out on the patio amid blinking harbor lights and a gorgeous vista. A tastefully subdued dining room and unpretentious service make it a pleasant place to while away an evening. This is a kitchen that cuts no corners, especially in the superb potato gnocchi coated in a silky tomato ragù with braised meatballs. Melanzane alla Sorrentina features layers of mozzarella, basil, chunky tomato sauce, and thick slices of fried eggplant."
"Gennaro","","25 - 50 USD","Quite comfortable","http://www.gennaronyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","Despite its age, Gennaro hasn't lost its good looks or popularity-it still packs in hungry locals nightly who aren't deterred by its borderline gritty surrounds or no-reservations policy. Come early or risk waiting, which isn't so bad considering their bar, whose by-the-glass offerings are vast and very appealing with both familiar and unusual Italian choices. The menu can be overwhelming considering its long list of pastas and daily specials, so trust your gut and you can't go wrong. Start with the polenta, served almost quattro stagione-style, with gorgonzola, prosciutto, and sliced portobellos; before twirling your taste buds around chewy bucatini showered with pecorino and pepper. The tiramisu is a light, creamy, and fluffy slam dunk."
"Giorgione","","25 - 50 USD","Quite comfortable. Our most delightful places","http://www.giorgionenyc.com","The Plate • Fresh ingredients, carefully prepared: a good meal","In far west SoHo, beyond Chanel and Balenciaga, find this long-time resident cherished for its quiet location where Spring Street locals enjoy a slower pace-much like Italy itself. Founded by Dean & Deluca's Giorgio Deluca, the stylish and distinctly Italian L-shaped room focuses on straightforward pizza, outstanding pastas, and serious desserts. You can't go wrong with the handful of pastas on the menu, such as the lovingly crafted pouches of spinach and ricotta ravioli in a light tomato sauce. Delicately grilled lamb chops with peperonata and rosemary-roasted new potatoes are simple yet beguiling. Try one (or two) noteworthy desserts, including the flaky crostata filled with rich chocolate ganache and bright green pistacchio di Bronte."
"Gelso and Grand","","25 - 50 USD","Comfortable","http://www.gelsoandgrand.com","The Plate • Fresh ingredients, carefully prepared: a good meal","It may be located smack in the middle of tourist-trappy Little Italy, but Gelso & Grand is a special place for creative and contemporary Italian food. The space is attractively industrial, with small tables and large windows that fling open for prime people-watching in warm weather. It may also be a bit pricey for the neighborhood, but that difference goes straight into the quality local ingredients and skillful cooking. Begin with a pretty fan of tuna carpaccio garnished with tomato jam, candied ginger chips, and buttery green olives. Wood-oven fired pizzas are popular, but don't skip out on house pasta such as the roasted lasagna, layered with breaded eggplant fried golden brown, melted mozzarella, chunky Bolognese, and creamy tomato sauce."
"Gallagher's","","50 - 75 USD","Quite comfortable","http://www.gallaghersnysteakhouse.com","The Plate • Fresh ingredients, carefully prepared: a good meal","A multi-million dollar renovation hasn't glossed over any of Gallagher's iconic character. Walls covered with photos of horses and jockeys harken back to the seasoned stallion's former proximity to the old Madison Square Garden. The menu's ""other soup"" is a sly reference held over from Prohibition days; and diners still walk past the window-fronted meat locker where slabs of USDA Prime beef are dry-aged. Gallagher's fresh sparkle is exhibited by the display kitchen, set behind glass panes. The chefs here turn out contemporary-minded fare like hamachi crudo with a yuzu-jalapeño vinaigrette to go with choice cuts of meat grilled over hickory. The rib steak is a bone-in ribeye that arrives mouthwateringly tender with a side of warm and savory house sauce."
"Ganso Ramen","","Under 25 USD","Comfortable","http://www.gansonyc.com","Bib Gourmand • Inspectors’ favourites for good value","A welcome sight amidst the sneaker stores and pizza joints of commercial Fulton Mall, this friendly and comforting ramen-ya is a sure sign that things are changing in downtown Brooklyn. Inside, wood booths and tables sit atop sleek stone floors while buzzing chefs are visible through encased glass. Cookbook author and owner Harris Salat ensures that these steaming bowls of springy noodles remain a notch above those slurp shops opening throughout the city. Nightly specials are deftly executed, including a Mongolian lamb ramen in chili-sansho broth, topped with slices of lamb, fried onions, garlic chives, and ajitama egg. Also try the pillowy steamed buns stuffed with roasted pork belly and kimchi or crunchy shrimp tempura and cabbage."
"Gabriel Kreuther","One  Star","Over 75 USD","Very comfortable. Our most delightful places","http://www.gknyc.com","One Star • High quality cooking, worth a stop","Proving that the death of fine dining has been grossly exaggerated, Alsace-born Gabriel Kreuther’s eponymous midtown restaurant offers artfully designed surroundings, creative and eye-catching food, and service that is formal and quite ceremonial. It’s certainly a striking room, with columns of reclaimed wood juxtaposed with creamy white leather seating and a glass wall offering glimpses of the impressively calm goings-on in the kitchen. The table settings are immaculate too, with delicate glassware, cups and bowls that you can’t stop stroking, and surgically thin modern cutlery that you’ll either love or hate. The chef's classical culinary upbringing underpins his modern creations and his Alsatian heritage plays a role too. Alongside kugelhopf, you'll also find sauerkraut-it makes an appearance in one of his more theatrical dishes where it's mixed with sturgeon, garnished with caviar and presented at the table with the lifting of a glass cloche filled with applewood smoke. The desserts, if you can get past their somewhat pretentious monikers (""revisited"" or ""ethereal"" anyone?) show that the pastry section is also given license to push boundaries."
"Fumo","","25 - 50 USD","Quite comfortable","http://www.fumorestaurant.com","The Plate • Fresh ingredients, carefully prepared: a good meal","The setting at Fumo is undeniably chic, with bright white walls, light wood tables, and dark leather furnishings. A wood-fired pizza oven is in the back, while the front offers sidewalk seating under a protective awning. Attractive shelving lined with canned tomatoes frames the bar area and dining room. The menu offers Italian favorites, executed with a deft hand and solid ingredients. Pizzas are 12-inches and come rosso or bianco, topped with the likes of vodka sauce, wild mushrooms, or charred vegetables. Excellent pastas, like the penne Caprese, are tossed with tomato sauce, fresh basil, and creamy mozzarella. A neatly deboned, beautifully seasoned branzino arrives subtly flavored with fresh herbs and alongside wilted spinach as well as a lemon wedge."
